year,date,median,low,high
2019,2020-04-16,12,0,36
2020,2020-03-24,3,0,9
2019,2020-01-03,18,0,69
2020,2020-07-02,4,0,13
year,date,median,low,high
2019,2020-01-08,18,0,130
2019,2020-07-22,9,0,27
2020,2020-09-23,5,0,14
2019,2020-08-13,9,0,28
year,date,median,low,high
2020,2020-01-20,7,0,21
2019,2020-08-26,9,0,27
2020,2020-03-12,8,0,22
year,date,median,low,high
2019,2020-06-25,10,0,30
2019,2020-01-30,9,0,39
2020,2020-10-12,3,0,9
2020,2020-09-21,4,0,11
year,date,median,low,high
2019,2020-01-01,10,0,53
2019,2020-06-06,11,0,33
year,date,median,low,high
2019,2020-01-22,9,0,72
2020,2020-03-05,9,0,26
2019,2020-06-11,11,0,36
2020,2020-05-25,2,0,8
2020,2020-09-01,5,0,13
year,date,median,low,high
2019,2020-01-29,9,0,35
year,date,median,low,high
2020,2020-06-30,4,0,12
year,date,median,low,high
2020,2020-07-06,3,0,11
2020,2020-06-17,3,0,11
2020,2020-08-19,4,0,12
2019,2020-05-21,10,0,30
year,date,median,low,high
2020,2020-09-07,3,0,10
year,date,median,low,high
2020,2020-03-18,4,0,13
2020,2020-04-09,2,0,7
year,date,median,low,high
2019,2020-11-26,10,0,30
2020,2020-05-05,2,0,9
2019,2020-03-12,9,0,28
2019,2020-02-19,10,0,30
year,date,median,low,high
2019,2020-12-24,8,0,27
2019,2020-07-17,10,0,29
2020,2020-01-22,10,0,29
2018,2020-12-31,10,0,42
2020,2020-08-03,4,0,13
year,date,median,low,high
2020,2020-07-13,4,0,13
2020,2020-11-05,4,0,19
2019,2020-02-27,10,0,30
2020,2020-04-08,2,0,7
2020,2020-05-19,3,0,10
year,date,median,low,high
2019,2020-10-28,9,0,26
2020,2020-11-10,4,0,12
2020,2020-08-13,4,0,12
2020,2020-11-04,4,0,18
year,date,median,low,high
2020,2020-01-27,10,0,29
2020,2020-08-10,4,0,12
2020,2020-03-17,4,0,13
year,date,median,low,high
2020,2020-01-16,10,0,29
